Iterations, Rows, Cols, OverallTime, WorkTime, DiffTime, Processors
14,5000,5000,4.023839,3.107461,0.916378,1
14,5000,5000,4.117067,3.172989,0.944077,2
14,5000,5000,2.686839,1.620956,1.065883,4
14,5000,5000,2.187621,1.113061,1.074559,8
14,5000,5000,1.819541,0.611540,1.208000,16
14,10000,10000,20.411479,12.891801,7.519678,1
14,10000,10000,20.745795,13.667228,7.078567,2
14,10000,10000,13.638967,6.657401,6.981566,4
14,10000,10000,9.810696,4.210490,5.600206,8
14,10000,10000,8.016281,2.836897,5.179384,16
