Iterations, Rows, Cols, OverallTime, WorkTime, DiffTime, Processors
14,5000,5000,6.425182,4.449144,1.976038,1
14,5000,5000,6.438422,4.531618,1.906804,2
14,5000,5000,3.257582,1.311244,1.946338,4
14,5000,5000,3.472085,1.222831,2.249254,8
14,5000,5000,2.742805,0.712352,2.030453,16
14,10000,10000,30.139092,18.100977,12.038115,1
14,10000,10000,22.428632,11.824522,10.604110,2
14,10000,10000,16.303867,7.175022,9.128845,4
14,10000,10000,10.900229,3.512530,7.387699,8
14,10000,10000,10.481909,2.308340,8.173569,16
