Iterations, Rows, Cols, OverallTime, WorkTime, DiffTime, Processors
14,5000,5000,5.305215,3.292393,2.012822,1
14,5000,5000,3.858360,1.929624,1.928736,2
14,5000,5000,3.409750,1.499054,1.910696,4
14,5000,5000,5.397180,0.652930,4.744250,8
14,5000,5000,2.652541,0.500640,2.151901,16
14,10000,10000,26.014797,14.907757,11.107040,1
14,10000,10000,22.310157,9.451555,12.858602,2
14,10000,10000,13.746556,3.594936,10.151620,4
14,10000,10000,10.774257,2.428203,8.346054,8
14,10000,10000,9.822985,1.701747,8.121238,16
